product,source_a,time_frequency_a_Hz,time_order_a_n,spatial_order_a_m,source_b,time_frequency_b_Hz,time_order_b_n,spatial_order_b_m,contribution_real,contribution_imag,contribution_abs,stress,target_time_frequency_Hz,target_time_order_n,target_spatial_order_m,target_coeff_real,target_coeff_imag,target_coeff_abs,pair_rank,abs_fraction_of_target
Br*Br/(2mu0),Br,0.0,0.0,14.999999999999996,Br,0.0,0.0,20.999999999999996,607.4911854787397,359.89572496799326,706.095229614676,Fr,0.0,0.0,35.99999999999999,24626.434578157685,4551.939541013076,25043.59066941717,9,0.028194648240954842
Br*Br/(2mu0),Br,0.0,0.0,20.999999999999996,Br,0.0,0.0,14.999999999999996,607.4911854787397,359.89572496799326,706.095229614676,Fr,0.0,0.0,35.99999999999999,24626.434578157685,4551.939541013076,25043.59066941717,10,0.028194648240954842
-Btheta*Btheta/(2mu0),Btheta,241.4898960627487,1.0,14.999999999999996,Btheta,-241.4898960627487,-1.0,20.999999999999996,-476.1462655281681,-390.87427860653156,616.0340638735794,Fr,0.0,0.0,35.99999999999999,24626.434578157685,4551.939541013076,25043.59066941717,11,0.024598472000497525
-Btheta*Btheta/(2mu0),Btheta,-241.4898960627487,-1.0,20.999999999999996,Btheta,241.4898960627487,1.0,14.999999999999996,-476.1462655281681,-390.87427860653156,616.0340638735794,Fr,0.0,0.0,35.99999999999999,24626.434578157685,4551.939541013076,25043.59066941717,12,0.024598472000497525
Br*Br/(2mu0),Br,241.4898960627487,1.0,-56.999999999999986,Br,-241.4898960627487,-1.0,20.999999999999996,4974.604142392588,-518.2504693996614,5001.5267591548945,Fr,0.0,0.0,-35.99999999999999,24626.434578157685,-4551.939541013076,25043.59066941717,1,0.19971284570078357
Br*Br/(2mu0),Br,-241.4898960627487,-1.0,20.999999999999996,Br,241.4898960627487,1.0,-56.999999999999986,4974.604142392588,-518.2504693996614,5001.5267591548945,Fr,0.0,0.0,-35.99999999999999,24626.434578157685,-4551.939541013076,25043.59066941717,2,0.19971284570078357
Br*Br/(2mu0),Br,-241.4898960627487,-1.0,-14.999999999999996,Br,241.4898960627487,1.0,-20.999999999999996,2428.5651526102342,-1440.3803867499682,2823.583602269775,Fr,0.0,0.0,-35.99999999999999,24626.434578157685,-4551.939541013076,25043.59066941717,3,0.11274675582834412
Br*Br/(2mu0),Br,241.4898960627487,1.0,-20.999999999999996,Br,-241.4898960627487,-1.0,-14.999999999999996,2428.565152610234,-1440.3803867499682,2823.5836022697745,Fr,0.0,0.0,-35.99999999999999,24626.434578157685,-4551.939541013076,25043.59066941717,4,0.1127467558283441
-Btheta*Btheta/(2mu0),Btheta,241.4898960627487,1.0,-56.999999999999986,Btheta,-241.4898960627487,-1.0,20.999999999999996,1325.5749067078207,65.70801847072244,1327.2024626954233,Fr,0.0,0.0,-35.99999999999999,24626.434578157685,-4551.939541013076,25043.59066941717,5,0.05299569379706327
-Btheta*Btheta/(2mu0),Btheta,-241.4898960627487,-1.0,20.999999999999996,Btheta,241.4898960627487,1.0,-56.999999999999986,1325.5749067078207,65.70801847072244,1327.2024626954233,Fr,0.0,0.0,-35.99999999999999,24626.434578157685,-4551.939541013076,25043.59066941717,6,0.05299569379706327
Br*Br/(2mu0),Br,0.0,0.0,20.999999999999996,Br,0.0,0.0,-56.999999999999986,1244.2678700724814,-129.54886702956355,1250.993781536644,Fr,0.0,0.0,-35.99999999999999,24626.434578157685,-4551.939541013076,25043.59066941717,7,0.04995265247903678
Br*Br/(2mu0),Br,0.0,0.0,-56.999999999999986,Br,0.0,0.0,20.999999999999996,1244.2678700724814,-129.54886702956355,1250.993781536644,Fr,0.0,0.0,-35.99999999999999,24626.434578157685,-4551.939541013076,25043.59066941717,8,0.04995265247903678
Br*Br/(2mu0),Br,0.0,0.0,-20.999999999999996,Br,0.0,0.0,-14.999999999999996,607.4911854787398,-359.8957249679933,706.0952296146761,Fr,0.0,0.0,-35.99999999999999,24626.434578157685,-4551.939541013076,25043.59066941717,9,0.02819464824095485
Br*Br/(2mu0),Br,0.0,0.0,-14.999999999999996,Br,0.0,0.0,-20.999999999999996,607.4911854787398,-359.8957249679933,706.0952296146761,Fr,0.0,0.0,-35.99999999999999,24626.434578157685,-4551.939541013076,25043.59066941717,10,0.02819464824095485
-Btheta*Btheta/(2mu0),Btheta,241.4898960627487,1.0,-20.999999999999996,Btheta,-241.4898960627487,-1.0,-14.999999999999996,-476.14626552816793,390.87427860653156,616.0340638735792,Fr,0.0,0.0,-35.99999999999999,24626.434578157685,-4551.939541013076,25043.59066941717,11,0.024598472000497515
-Btheta*Btheta/(2mu0),Btheta,-241.4898960627487,-1.0,-14.999999999999996,Btheta,241.4898960627487,1.0,-20.999999999999996,-476.14626552816793,390.87427860653156,616.0340638735792,Fr,0.0,0.0,-35.99999999999999,24626.434578157685,-4551.939541013076,25043.59066941717,12,0.024598472000497515
Br*Br/(2mu0),Br,241.4898960627487,1.0,-20.999999999999996,Br,241.4898960627487,1.0,-20.999999999999996,20860.166970636063,-33603.3045301435,39551.59467566862,Fr,482.9797921254974,2.0,-41.99999999999999,10213.019241188966,-16257.179919647824,19199.00156155774,1,2.0600860179553804
Br*Br/(2mu0),Br,0.0,0.0,-20.999999999999996,Br,482.9797921254974,2.0,-20.999999999999996,-2611.2117907692373,4206.399225059607,4950.9818679565315,Fr,482.9797921254974,2.0,-41.99999999999999,10213.019241188966,-16257.179919647824,19199.00156155774,2,0.25787704907894315
Br*Br/(2mu0),Br,482.9797921254974,2.0,-20.999999999999996,Br,0.0,0.0,-20.999999999999996,-2611.211790769238,4206.399225059607,4950.9818679565315,Fr,482.9797921254974,2.0,-41.99999999999999,10213.019241188966,-16257.179919647824,19199.00156155774,3,0.25787704907894315
Br*Br/(2mu0),Br,0.0,0.0,20.999999999999996,Br,482.9797921254974,2.0,-62.999999999999986,-1718.8116647341624,3363.8596446986453,3777.5475176439963,Fr,482.9797921254974,2.0,-41.99999999999999,10213.019241188966,-16257.179919647824,19199.00156155774,4,0.19675749832781927
Br*Br/(2mu0),Br,482.9797921254974,2.0,-62.999999999999986,Br,0.0,0.0,20.999999999999996,-1718.8116647341622,3363.8596446986453,3777.5475176439963,Fr,482.9797921254974,2.0,-41.99999999999999,10213.019241188966,-16257.179919647824,19199.00156155774,5,0.19675749832781927
-Btheta*Btheta/(2mu0),Btheta,241.4898960627487,1.0,-20.999999999999996,Btheta,241.4898960627487,1.0,-20.999999999999996,818.1695118076887,-2931.2299629308063,3043.2729824376534,Fr,482.9797921254974,2.0,-41.99999999999999,10213.019241188966,-16257.179919647824,19199.00156155774,6,0.1585120441122946
Br*Br/(2mu0),Br,724.4696881882461,3.0,-20.999999999999996,Br,-241.4898960627487,-1.0,-20.999999999999996,-599.3819583390381,965.5575313289665,1136.4682478135624,Fr,482.9797921254974,2.0,-41.99999999999999,10213.019241188966,-16257.179919647824,19199.00156155774,7,0.05919413278704652
Br*Br/(2mu0),Br,-241.4898960627487,-1.0,-20.999999999999996,Br,724.4696881882461,3.0,-20.999999999999996,-599.381958339038,965.5575313289665,1136.4682478135624,Fr,482.9797921254974,2.0,-41.99999999999999,10213.019241188966,-16257.179919647824,19199.00156155774,8,0.05919413278704652
